# Dow Jones
# Vir: finance.yahoo.com, pridobljeno 26. 5. 2016
Date             Open            High            Low             Close             Volume
10/27/2015       17608.89        17635.18        17540.57        17581.43       113960000
10/26/2015       17649.57        17660.70        17602.51        17623.05       116660000
10/23/2015       17525.11        17679.37        17525.11        17646.70       158090000
10/22/2015       17180.88        17505.18        17180.88        17489.16       152420000
10/21/2015       17225.93        17314.99        17153.13        17168.61       107100000
10/20/2015       17228.47        17264.88        17147.99        17217.11       106670000
10/19/2015       17209.43        17235.95        17129.19        17230.54       118430000
10/16/2015       17141.75        17220.02        17107.35        17215.97       145880000
10/15/2015       16944.86        17144.42        16933.57        17141.75       122960000
10/14/2015       17079.08        17111.38        16887.67        16924.75       120110000
10/13/2015       17113.55        17172.81        17034.45        17081.89        99400000
10/12/2015       17082.29        17139.21        17064.58        17131.86        72500000
10/9/2015        17054.69        17110.88        17027.23        17084.49       103730000
10/8/2015        16904.17        17081.28        16859.34        17050.75       100730000
10/7/2015        16805.42        16963.30        16765.00        16912.29       115690000
10/6/2015        16774.02        16865.09        16746.03        16790.19       120010000
10/5/2015        16502.10        16798.37        16502.10        16776.43       127660000
10/2/2015        16258.25        16472.77        16013.66        16472.37       136890000
10/1/2015        16278.62        16348.87        16073.82        16272.01       111420000
9/30/2015        16057.08        16297.60        16057.08        16284.70       145740000
9/29/2015        16001.76        16118.89        15942.37        16049.13       121160000
9/28/2015        16313.26        16313.26        15981.85        16001.89       139930000
9/25/2015        16205.07        16465.23        16205.07        16314.67       130790000
9/24/2015        16257.11        16257.11        16016.36        16201.32       122220000
9/23/2015        16332.81        16355.29        16211.98        16279.89        86030000
9/22/2015        16477.45        16477.45        16221.73        16330.47       119010000
9/21/2015        16406.10        16578.60        16391.88        16510.19        90730000
9/18/2015        16674.74        16674.74        16343.76        16384.58       341690000
9/17/2015        16738.08        16933.43        16639.93        16674.74       129600000
9/16/2015        16599.51        16755.98        16593.90        16739.95        99620000
9/15/2015        16382.58        16644.11        16382.58        16599.85        93050000
9/14/2015        16450.86        16450.86        16330.87        16370.96        92660000
9/11/2015        16330.40        16434.76        16244.65        16433.09       104630000
9/10/2015        16252.57        16441.94        16212.08        16330.40       122690000
9/9/2015         16505.04        16664.65        16220.10        16253.57       118790000
9/8/2015         16109.93        16503.41        16109.93        16492.68       123870000
9/4/2015         16371.76        16371.76        16026.61        16102.38       127270000
9/3/2015         16364.34        16550.07        16317.31        16374.76       109730000
9/2/2015         16058.35        16352.58        16058.35        16351.38       133480000
9/1/2015         16528.03        16528.03        15979.95        16058.35       171390000
8/31/2015        16632.02        16632.02        16444.05        16528.03       141440000
8/28/2015        16649.42        16669.97        16535.18        16643.01       131790000
8/27/2015        16285.51        16666.69        16285.51        16654.77       171980000
8/26/2015        15676.26        16303.75        15676.26        16285.51       208420000
8/25/2015        15882.27        16312.94        15651.24        15666.44       213220000
8/24/2015        16459.75        16459.75        15370.33        15871.35       293920000
8/21/2015        16990.69        16990.69        16459.55        16459.75       225170000
8/20/2015        17345.32        17345.32        16990.69        16990.69       128530000
8/19/2015        17508.74        17517.19        17282.42        17348.73       104720000
8/18/2015        17537.30        17568.40        17486.42        17511.34        79900000
8/17/2015        17472.66        17551.40        17341.72        17545.18        73380000
8/14/2015        17410.12        17492.90        17394.06        17477.40        82120000
8/13/2015        17401.64        17481.78        17341.34        17408.25        88550000
8/12/2015        17382.93        17423.90        17125.81        17402.51       120400000
8/11/2015        17593.59        17593.59        17352.63        17402.84       103010000
8/10/2015        17375.18        17629.13        17375.18        17615.17        92430000
8/7/2015         17414.94        17414.94        17279.08        17373.38        81800000
8/6/2015         17542.61        17572.04        17362.86        17419.75        96170000
8/5/2015         17555.24        17661.37        17492.90        17540.47       102450000
8/4/2015         17596.93        17635.78        17505.50        17550.69        99060000
8/3/2015         17696.74        17704.76        17496.61        17598.20        87880000
7/31/2015        17755.87        17783.59        17671.59        17689.86       106120000
7/30/2015        17743.24        17761.25        17640.85        17745.98        76650000
7/29/2015        17631.40        17776.78        17629.20        17751.39        93140000
7/28/2015        17449.81        17650.07        17449.81        17630.27       103450000
7/27/2015        17561.78        17561.78        17399.17        17440.59       117860000
7/24/2015        17731.05        17756.54        17553.73        17568.53       103470000
7/23/2015        17853.78        17860.95        17705.03        17731.92        88600000
7/22/2015        17918.35        17919.35        17807.41        17851.04       112370000
7/21/2015        18096.67        18096.67        17868.34        17919.29       100170000
7/20/2015        18085.91        18137.12        18064.50        18100.41        75060000
7/17/2015        18117.58        18121.12        18032.06        18086.45       106510000
7/16/2015        18078.16        18131.61        18065.33        18120.25        85030000
7/15/2015        18053.38        18090.39        18010.15        18050.17        80460000
7/14/2015        17974.61        18072.82        17956.17        18053.58        76740000
7/13/2015        17787.27        17987.57        17787.27        17977.68        86380000
7/10/2015        17561.12        17797.49        17561.12        17760.41        85800000
7/9/2015         17530.38        17764.85        17530.38        17548.62       100520000
7/8/2015         17759.01        17759.01        17496.22        17515.42        69830000
7/7/2015         17684.92        17793.45        17465.68        17776.91       105840000
7/6/2015         17728.08        17734.36        17564.36        17683.58        90130000
7/2/2015         17763.32        17825.49        17687.52        17730.11        83080000
7/1/2015         17638.12        17801.83        17638.12        17757.91        87010000
6/30/2015        17599.96        17714.66        17576.50        17619.51       126460000
6/29/2015        17936.74        17936.74        17590.55        17596.35       116340000
6/26/2015        17892.03        18013.15        17892.03        17946.68       158120000
6/25/2015        17977.11        18036.10        17890.36        17890.36        78990000
6/24/2015        18139.10        18139.10        17966.07        17966.07       104980000
6/23/2015        18121.78        18188.81        18108.10        18144.07        75970000
6/22/2015        18027.63        18181.67        18027.63        18119.78        77780000
6/19/2015        18116.24        18117.71        18010.58        18015.95       258300000
6/18/2015        17944.61        18174.73        17944.61        18115.84        94460000
6/17/2015        17909.58        17998.00        17839.65        17935.74        92410000
6/16/2015        17787.43        17919.62        17774.12        17904.48        77510000
6/15/2015        17890.76        17890.76        17698.42        17791.17        91920000
6/12/2015        18035.83        18035.83        17857.07        17898.84        83760000
6/11/2015        18001.27        18109.77        18001.27        18039.37        89490000
6/10/2015        17765.38        18045.14        17765.38        18000.40        96980000
6/9/2015         17766.95        17817.83        17714.97        17764.04        90550000
6/8/2015         17849.46        17852.35        17760.61        17766.55        86300000
6/5/2015         17905.38        17940.78        17822.90        17849.46        89140000
6/4/2015         18072.47        18087.15        17876.95        17905.58        93470000
6/3/2015         18018.42        18168.09        18010.42        18076.27        73120000
6/2/2015         18033.33        18091.87        17925.33        18011.94        77550000
6/1/2015         18017.82        18105.83        17982.06        18040.37        85640000
5/29/2015        18128.12        18128.12        17967.74        18010.68       139810000
5/28/2015        18154.14        18154.14        18066.40        18126.12        67510000
5/27/2015        18045.08        18190.35        18045.08        18162.99        96400000
